"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drow Arachnomancer,Medium,Humanoid,"Elf, drow",Chaotic Evil,13,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,182,,,Verbeeg Marauder,Large,Giant,,Neutral Evil,4,,,,,,,,ø,,,,,ø,ø,,,,,,Icewind Dale: Rime of the Frostmaiden,311,,,,,,,,,,,
Drow Elite Warrior,Medium,Humanoid,Elf,Neutral Evil,5,,x,,,,,,,,,,,,,,x,,,,Monster Manual,128,,,Giant Walrus,Huge,Beast,,Unaligned,4,,,,,,,,ø,ø,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,312,,,,,,,,,,,
Drow Favored Consort,Medium,Humanoid,"elf, wizard",Any,18,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,100,,,Walrus,Large,Beast,,Unaligned,1/4,,,,,,,,ø,ø,,,,,,,,ø,,,Icewind Dale: Rime of the Frostmaiden,312,,,,,,,,,,,
Drow Favored Consort,Medium,Humanoid,"Elf, drow",Chaotic Evil,18,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,183,,,Yeti Tyke,Small,Monstrosity,,Chaotic Evil,1/8,,,,,,,,ø,,,,,,ø,,,,,,Icewind Dale: Rime of the Frostmaiden,313,,,,,,,,,,,
Drow Gunslinger,Medium,Humanoid,Elf,Any,4,,x,,,,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,201,,,Grandfather Oak,Huge,Plant,,Chaotic Good,9,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,5,,,,,,,,,,,
Drow House Captain,Medium,Humanoid,elf,Any,9,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,101,,,Dwarven Worker,Medium,Humanoid,Dwarf,Any Non-Good,1/8,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,15,,,,,,,,,,,
Drow House Captain,Medium,Humanoid,"Elf, drow",Chaotic Evil,9,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,184,,,Tiefling Muralist,Medium,Humanoid,Tiefling,Any Non-Good,1/8,,x,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,17,,,,,,,,,,,
Drow Inquisitor,Medium,Humanoid,"cleric, elf",Neutral Evil,14,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,102,,,Tarnhem,Huge,Fiend,Demon,Chaotic Evil,19,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,19,,,,,,,,,,,
Drow Inquisitor,Medium,Humanoid,"Elf, drow",Chaotic Evil,14,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,184,,,Andras,Medium,Humanoid,Human,Neutral Evil,8,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,31,,,,,,,,,,,
Drow Mage,Medium,Humanoid,Elf,Neutral Evil,7,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,Skeletal Giant Owl,Large,Undead,,Neutral,1/4,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,33,,,,,,,,,,,
Drow Matron Mother,Medium,Humanoid,"cleric, elf",Neutral Evil,20,,x,x,x,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,104,,,Stolos,Medium,Humanoid,Human,Neutral Evil,6,,x,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,33,,,,,,,,,,,
Drow Matron Mother,Medium,Humanoid,"Elf, drow",Chaotic Evil,20,,x,x,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,186,,,Skeletal Polar Bear,Large,Undead,,Unaligned,2,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,34,,,,,,,,,,,
Drow Mech,Large,Fey,,Lawful Neutral,11,,x,,,,,,,,,,,,,,ø,,,,Monster a Day Compendium 2.0,35,,,Thessalar's Homunculus,Tiny,Construct,,Neutral,0,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,35,,,,,,,,,,,
Drow Priestess of Lolth,Medium,Humanoid,Elf,Neutral Evil,8,,x,,,,,,,,,,,,,,x,,,,Monster Manual,129,,,Skeletal Owlbear,Large,Undead,,Unaligned,3,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,36,,,,,,,,,,,
Drow Shadowblade,Medium,Humanoid,elf,Any,11,,x,,,,,,,,,,,,,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,105,,,Skeletal Two-Headed Owlbear,Large,Undead,,Unaligned,3,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,36,,,,,,,,,,,
Drow Shadowblade,Medium,Humanoid,"Elf, drow",Chaotic Evil,11,,x,,,,,,,,,,,,,,x,,,,Mordenkainen's Tome of Foes,187,,,Seodra,Medium,Humanoid,Genasi,Any,1/8,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,41,,,,,,,,,,,
Drow Spore Servant,Medium,Plant,,Unaligned,1/8,,,,,,,,,,,,,,,,ø,,,,Out of the Abyss,229,,,Enhanced Medusa,Medium,Monstrosity,,Lawful Evil,6,,x,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,47,,,,,,,,,,,
Drowned Ascetic,Medium,Undead,,Chaotic Evil,3,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,233,,,Brains in Iron,Large,Construct,,Lawful Neutral,6,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,48,,,,,,,,,,,
Drowned Assassin,Medium,Undead,,Chaotic Evil,4,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,234,,,Barbatos,Medium,Humanoid,Human,Neutral Evil,6,,x,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,52,,,,,,,,,,,
Drowned Blade,Medium,Undead,,Chaotic Evil,2,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,235,,,"""The Demogorgon""",Large,Giant,,Chaotic Neutral,8,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,53,,,,,,,,,,,
Drowned Maiden,Medium,Undead,,Neutral Evil,5,,x,,,,,,,ø,,,,,,ø,,ø,ø,,Tome of Beasts,159,,,Lynx Creatlach,Medium,Undead,Tiefling,Lawful Evil,5,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,54,,,,,,,,,,,
Drowned Master,Medium,Undead,,Chaotic Evil,9,,,,,,,,,ø,,,,,,,,x,,,Ghosts of Saltmarsh,235,,,Moghadam,Medium,Humanoid,Human,Neutral Evil,12,,x,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,55,,,,,,,,,,,
Druid,Medium,Humanoid,Any Race,Any,2,,x,,,,,,x,x,x,x,x,x,x,x,,,,,Monster Manual,346,Rise of Tiamat Online Supplement 12,,Sir Ursas,Medium,Humanoid,Human,Lawful Evil,5,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,56,,,,,,,,,,,
Druid of the Old Ways,Medium,Humanoid,Any Race,Chaotic Neutral,7,,x,,,,,,,,,ø,ø,ø,,,,,ø,,Guildmaster's Guide to Ravnica,239,,,Thessalar,Medium,Humanoid,Human,Neutral Evil,12,,x,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,57,,,,,,,,,,,
Dryad,Medium,Fey,,Neutral,1,,x,,,,,,,,,x,,,,,,,,,Monster Manual,121,,,Neo-Otyugh,Huge,Aberration,,Neutral,7,,x,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,75,,,,,,,,,,,
Du'ulora Quori,Large,Aberration,,Lawful Evil,11,,x,,,,,,,,,,,,,,,,ø,x,DM's Guild: Exploring Eberron,245,,,Thessalheart Construct,Tiny,Construct,,Neutral,0,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,86,,,,,,,,,,,
Dualist Shadow Fey Elves,Medium,Humanoid,Elf,Lawful Neutral,6,,x,,,,,,,,,,,,,,ø,,,ø,Tome of Beasts,171,,,Thessalhydra,Huge,Monstrosity,,Unaligned,4,,,x,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,86,,,,,,,,,,,
Duergar,Medium,Humanoid,Dwarf,Lawful Neutral,1,,,,,,,,,,,,,,,,x,,,,Monster Manual,122,,,Thessalkraken,Gargantuan,Monstrosity,Titan,Chaotic Evil,14,,,x,x,,,,,,,,,,,,,,,,Infernal Machine Rebuild,87,,,,,,,,,,,
Duergar Darkhaft,Medium,Humanoid,Dwarf,Lawful Neutral,2,,x,,,,,,,,,,,,,,,,,,Out of the Abyss,226,,,Two-Headed Crocodile,Large,Beast,,Unaligned,1,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,89,,,,,,,,,,,
Duergar Despot,Medium,Humanoid,dwarf,Any,12,,x,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,107,,,Two-Headed Owlbear,Large,Monstrosity,,Unaligned,3,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,90,,,,,,,,,,,
Duergar Despot,Medium,Humanoid,Dwarf,Lawful Neutral,12,,x,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,188,,,Amble,Medium,Humanoid,Tortle,Neutral Good,10,,x,,,,,,,,,,,,,,,,,,Locathah Rising,15,,,,,,,,,,,
Duergar Hammerer,Medium,Construct,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,112,,,Fhenimore (Kraken Priest Variant),Medium,Humanoid,Human,Neutral Evil,5,,x,,,x,,,,,,,,,,,,,,,Locathah Rising,20,,,,,,,,,,,
Duergar Hammerer,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,188,Icewind Dale: Rime of the Frostmaiden 286,,Whymsee (Kraken Priest Variant),Medium,Humanoid,Human,Neutral Evil,5,,x,,,x,,,,,,,,,,,,,,,Locathah Rising,20,,,,,,,,,,,
Duergar Kavalrachni,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,107,"Mordenkainen's Tome of Foes 189, Out of the Abyss 226",,Young Kraken,Huge,Monstrosity,Titan,Chaotic Evil,14,,,,,,,,,,,,,,,,,,,,Locathah Rising,21,,,,,,,,,,,
Duergar Keeper Of The Flame,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,,Out of the Abyss,226,,,Shoalar Quaderil,Medium,Humanoid,Water Genasi,Lawful Evil,6,,x,,,x,,,,,,,,,,,,,,,Locathah Rising,23,,,,,,,,,,,
Duergar Mind Master,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,108,"Mordenkainen's Tome of Foes 189, Icewind Dale: Rime of the Frostmaiden 286",,Clockwork Kraken,Large,Construct,,Unaligned,10,,,,,,,,,,,,,,,,,,,,Lost Laboratory of Kwalish,38,,,,,,,,,,,
Duergar Screamer,Medium,Construct,dwarf,Any,3,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,112,,,Garret Levistusson,Medium,Humanoid,Tiefling,Chaotic Neutral,2,,x,,,x,,,,,,,,,,,,,ø,,Lost Laboratory of Kwalish,41,,,,,,,,,,,
Duergar Screamer,Medium,Humanoid,Dwarf,Lawful Neutral,3,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,190,,,Mary Greymalkin,Medium,Humanoid,Eladrin,Neutral,2,,x,,,x,,,,,,,,,ø,,,,ø,,Lost Laboratory of Kwalish,43,,,,,,,,,,,
Duergar Soulblade,Medium,Humanoid,dwarf,Any,1,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,109,,,Ooze-Folk,Medium,Ooze,,Unaligned,1/2,,,,,,,,,,,,,,x,ø,ø,,,,Lost Laboratory of Kwalish,46,,,,,,,,,,,
Duergar Soulblade,Medium,Humanoid,Dwarf,Lawful Neutral,1,,x,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,190,Out of the Abyss 227,,Evil Mage,Medium,Humanoid,Human,Lawful Neutral,1,,x,,,,,,,,,,,,,,,,,,Lost Mines of Phandelver,57,The Lost Dungeon of Rickedness: Big Rick Energy 37,,,,,,,,,,
Duergar Spore Servant,Medium,Plant,,Unaligned,1/2,,,,,,,,,,,,,,,,ø,,,,Out of the Abyss,229,,,Mormesk The Wraith,Medium,Undead,,Neutral Evil,3,,,,,x,,,,,,,,,,,,,,,Lost Mines of Phandelver,59,,,,,,,,,,,
Duergar Spy,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,,,,,,,Tales from the Yawning Portal,234,,,Nezznar The Black Spider,Medium,Humanoid,Elf,Neutral Evil,2,,x,,,x,,,,,,,,,,,,,,,Lost Mines of Phandelver,59,,,,,,,,,,,
Duergar Stone Guard,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,110,,,Redbrand Ruffian,Medium,Humanoid,Human,Neutral Evil,1/2,,,,,,,,,,,,,,,,,,,,Lost Mines of Phandelver,61,,,,,,,,,,,
Duergar Stone Guard,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,191,Out of the Abyss 227,,Sildar Hallwinter,Medium,Humanoid,Human,Neutral Good,1,,,,,x,,,,,,,,,,,,,,,Lost Mines of Phandelver,61,,,,,,,,,,,
Duergar Warlord,Medium,Humanoid,dwarf,Any,6,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,111,,,Cornelius Watson,Medium,Humanoid,Human,Neutral Good,12,,x,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,30,,,,,,,,,,,
Duergar Warlord,Medium,Humanoid,Dwarf,Lawful Neutral,6,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,192,,,Flimp Shagglecran,Small,Humanoid,Gnome,Lawful Neutral,9,,x,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,32,,,,,,,,,,,
Duergar Xarrorn,Medium,Humanoid,dwarf,Any,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,111,,,Valygar,Medium,Humanoid,Human,Neutral Good,9,,,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,36,,,,,,,,,,,
Duergar Xarrorn,Medium,Humanoid,Dwarf,Lawful Neutral,2,,,,,,,,,,,,,,x,,x,,,,Mordenkainen's Tome of Foes,193,Out of the Abyss 228,,Xan Moonblade,Medium,Humanoid,Elf,Lawful Neutral,8,,x,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,38,,,,,,,,,,,
Dullahan,Large,Fey,,Lawful Neutral,11,,x,,,,,,,,,,,,,,,,,ø,Tome of Beasts,161,,,Naes Inuus,Medium,Humanoid,Human,Lawful Good,13,,x,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,42,,,,,,,,,,,
Dullahan,Medium,Undead,,Not Provided,10,,,x,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,ø,,Van Richten's Guide to Ravenloft,233,,,Tiberius Inuus,Medium,Humanoid,Human,Lawful Good,9,,,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,44,,,,,,,,,,,
Dune Mimic,Huge,Monstrosity,,Neutral,8,,,,,,,,,,ø,,,,ø,,,,,,Tome of Beasts,162,,,Kivan,Medium,Humanoid,Elf,Chaotic Good,7,,,,,x,,,,,,ø,,,,,,,ø,,Minsc and Boo's Journal of Villainy,48,,,,,,,,,,,
Duodrone,Medium,Construct,Modron,Lawful Neutral,1/4,,,,,,,,,,,,,,,,,,,ø,Monster Manual,225,,,Faldorn the Heirophant,Medium,Humanoid,Human,Neutral Evil,13,,x,,,x,,,,,,ø,,,,,,,ø,,Minsc and Boo's Journal of Villainy,50,,,,,,,,,,,
Durnan,Medium,Humanoid,Human,Neutral,9,,,,,x,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,203,,,Nauk,Medium,Humanoid,Half-orc,Lawful Evil,9,,,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,54,,,,,,,,,,,
Dusk Hag,Medium,Fey,,Neutral Evil,6,,x,,,,,,,,,ø,,,,ø,,,,,Eberron: Rising from the Last War,292,,,Borivik Windheim,Medium,Humanoid,Human,Neutral Good,10,,x,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,56,,,,,,,,,,,
Duskdale Wurm,Large,Beast,,Unaligned,6,,,x,,,,,,,,,,,,,ø,,,,Monster a Day Compendium 2.0,36,,,Jaheira,Medium,Humanoid,Half-Elf,Neutral,13,,x,,,x,,,,,,,,,,,,,x,,Minsc and Boo's Journal of Villainy,60,,,,,,,,,,,
Duskdale Wurm,Huge,Beast,,Unaligned,16,,,x,,,,,,,,,,,,,ø,,,,Monster a Day Compendium 2.0,36,,,Vellin Farstride,Small,Humanoid,Halfling,Neutral Good,9,,,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,62,,,,,,,,,,,
Duskthorn Dryad,Medium,Fey,Dryad,Any Chaotic,3,,x,,,,,,,,,ø,ø,,,,,,,,Tome of Beasts,160,,,Suldil Baldoriel,Medium,Humanoid,Half-Elf,Chaotic Good,10,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,66,,,,,,,,,,,
Dust Digger,Large,Aberration,,Unaligned,3,,,,,,,,,,x,,,,,,,,,,Fifth Edition Foes,88,,,Minsc and Boo!,Medium,Humanoid,Human,Neutral Good,10,,,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,68,,,,,,,,,,,
Dust Goblin,Small,Humanoid,Goblinoid,Neutral Evil,1/4,,,,,,,,,,ø,,,,,,,,,,Tome of Beasts,232,,,Jon Irenicus,Medium,Undead,,Neutral Evil,22,,x,x,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,73,,,,,,,,,,,
Dust Goblin Cheiftan,Small,Humanoid,Goblin,Neutral Evil,3,,,,,,,,,,,,,x,,,,,,,Creature Codex,136,,,Bodhi Irenicus,Medium,Undead,Shapechanger,Chaotic Evil,15,,,x,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,77,,,,,,,,,,,
Dust Hulk,Large,Elemental,,Chaotic Neutral,5,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,131,,,Lothar,Medium,Humanoid,Human,Lawful Neutral,9,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,80,,,,,,,,,,,
Dust Mephit,Small,Elemental,,Neutral Evil,1/2,,x,,,,,,,,x,,,,,,,,,,Monster Manual,215,,,Viktor,Medium,Humanoid,Human,Lawful Neutral,9,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,82,,,,,,,,,,,
Dvarapala,Huge,Giant,,Any,5,,x,,,,,,,,,,,,,,,,x,,Creature Codex,137,,,Montaron and the Laughing Skull,Small,Humanoid,Halfling,Neutral Evil,11,,,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,86,,,,,,,,,,,
Dwarf Skeleton,Medium,Undead,,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,,,Phandelver and Below: The Shattered Obelisk,123,,,Imoen,Medium,Humanoid,Human,Neutral Good,8,,,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,88,,,,,,,,,,,
Dwarven Ringmage,Medium,Humanoid,Dwarf,Any,7,,x,,,,,,,,,,,ø,ø,,ø,,ø,,Tome of Beasts,420,,,Baalzebul,Huge,Fiend,Devil,Lawful Evil,26,,x,x,x,x,,,,,,,,,,,,,,x,Minsc and Boo's Journal of Villainy,92,,,,,,,,,,,
Dwarven Worker,Medium,Humanoid,Dwarf,Any Non-Good,1/8,,,,,,,,,,,,,,,,,,,,Infernal Machine Rebuild,15,,,"Bhaal, Slayer",Medium,Humanoid,,Lawful Evil,20,,,x,,x,,,,,,,,,,,,,,x,Minsc and Boo's Journal of Villainy,93,,,,,,,,,,,
Dybbuk,Medium,Fiend,demon,Chaotic Evil,4,,x,,,,,,,,x,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,113,,,"Bhaal, Ravager",Huge,Beast,,Lawful Evil,24,,,x,,x,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,95,,,,,,,,,,,
Dybbuk,Medium,Fiend,Demon,Chaotic Evil,4,,x,,,,,,,,x,,,,,,,,x,ø,Mordenkainen's Tome of Foes,132,,,Cryonax,Huge,Elemental,,Neutral Evil,22,,x,x,x,x,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,98,,,,,,,,,,,
Dyrrn,Medium,Aberration,Daelkyr,Chaotic Evil,24,,,x,x,x,,,,,,,,,,,,,,x,Eberron: Rising from the Last War,288,,,Mephistopheles,Large,Fiend,Devil,Lawful Evil,27,,x,x,x,x,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,101,,,,,,,,,,,
Dzaan's Simulacrum,Medium,Construct,,Lawful Evil,1,,x,,,x,,,,,,,,,,,,,,,Icewind Dale: Rime of the Frostmaiden,270,,,Pazuzu,Large,Fiend,Demon,Chaotic Evil,25,,x,x,x,x,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,104,,,,,,,,,,,
Eagle,Small,Beast,,Unaligned,0,,,,,,,,,x,,,x,x,x,,,,,,Monster Manual,322,,,"Ssendam, Lord of Madness",Large,Aberration,Shapechanger,Chaotic Evil,23,,x,x,x,x,,,,,,,,,,,,ø,ø,,Minsc and Boo's Journal of Villainy,107,,,,,,,,,,,
Eala,Small,Monstrosity,,Unaligned,2,,,,,,,,,,,,,,,,,,,ø,Tome of Beasts,163,,,Aribeth de Tylmarande,Medium,Undead,,Neutral Evil,10,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,108,,,,,,,,,,,
Earth Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,,,,,,,x,,,,Monster Manual,124,Rise of Tiamat Online Supplement 13,,Dagryn,Medium,Humanoid,Dwarf,Neutral Evil,4,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,110,,,,,,,,,,,
Earth Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,122,,,Darien,Large,Giant,Ogre,Chaotic Evil,9,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,112,,,,,,,,,,,
Earth Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,ø,,,,Mordenkainen's Tome of Foes,202,Princes of the Apocalypse 212,,Edwin Odesseiron,Medium,Humanoid,Human,Lawful Evil,15,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,114,,,,,,,,,,,
Eater of Dust,Medium,Aberration,,Neutral Evil,9,,x,,,,,,,,ø,,,,,,,,,,Tome of Beasts,164,,,Eo Ashmajiir,Medium,Humanoid,Tiefling,Chaotic Neutral,11,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,116,,,,,,,,,,,
Eater of Hope,Large,Fiend,,Lawful Evil,6,,,,,,,,,,,,,,,,,,,x,Mythic Odysseys of Theros,220,,,Kagain,Medium,Humanoid,Dwarf,Neutral Evil,11,,,x,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,118,,,,,,,,,,,
Eater of Knowledge,Large,Aberration,,Neutral Evil,6,,x,,,,,,,,,,,,,,,,,x,Morte's Planar Parade,29,,,Pelyious Avhoste,Medium,Humanoid,Human,Neutral Evil,9,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,120,,,,,,,,,,,
Eblis,Medium,Monstrosity,,Neutral Evil,1/2,,x,,,,,,,,,x,,,,x,,,,,Fifth Edition Foes,89,,,Saemon Havarian,Medium,Humanoid,Human,Chaotic Neutral,10,,x,x,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,122,,,,,,,,,,,
Eblis,Large,Monstrosity,,Neutral Evil,1,,x,,,,,,,,,ø,,,,ø,,,,,Tomb of Annihilation,219,,,Sarevok,Medium,Humanoid,Human,Neutral Evil,15,,x,x,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,124,,,,,,,,,,,
Echo,Medium,Fiend,Demon,Chaotic Evil,6,,,,,,,,,,,,,,,,x,,,,Creature Codex,84,,,Viconia DeVir,Medium,Humanoid,Drow,Neutral Evil,13,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,126,,,,,,,,,,,
Echo of Demogorgon,Large,Fiend,Demon,Chaotic Evil,6,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,132,,,Xzar the Chaos Clone,Medium,Humanoid,Human,Chaotic Evil,11,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,128,,,,,,,,,,,
Ecstatic Bloom,Huge,Celestial,,Neutral Good,11,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,303,,,Achaeierai,Large,Monstrosity,,Lawful Evil,5,,,,,,,,,,,,,,,,ø,,,ø,Minsc and Boo's Journal of Villainy,131,,,,,,,,,,,
Ectoplasm,Large,Ooze,,Unaligned,2,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,90,,,Bebilith,Huge,Fiend,Demon,Chaotic Evil,12,,x,,,,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,133,,,,,,,,,,,
Edimmu,Medium,Undead,,Chaotic Evil,4,,,,,,,,,,ø,,ø,,,,,,,,Tome of Beasts,165,,,"Demodand, Farastu",Medium,Fiend,,Neutral Evil,7,,,,,,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,135,,,,,,,,,,,
Edjet,Medium,Humanoid,Dragonborn,Lawful Neutral,3,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,121,,,"Demodand, Kelubar",Medium,Fiend,,Neutral Evil,11,,x,,,,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,136,,,,,,,,,,,
Edjet Initiate,Medium,Humanoid,Dragonborn,Lawful Neutral,1/4,,,,,,,,,,,,,,,,,,x,,Tome of Beasts 2,131,,,"Demodand, Shator",Large,Fiend,,Neutral Evil,15,,x,,,,,,,,,,,,,,,,,ø,Minsc and Boo's Journal of Villainy,137,,,,,,,,,,,
Edwin Odesseiron,Medium,Humanoid,Human,Lawful Evil,15,,x,,,x,,,,,,,,,,,,,ø,,Minsc and Boo's Journal of Villainy,114,,,Dread Doppelganger,Medium,Monstrosity,Shapechanger,Neutral Evil,5,,x,,,,,,,,,,,,,,,ø,ø,,Minsc and Boo's Journal of Villainy,139,,,,,,,,,,,
